,pyrim,,,machine,,,housing,,,stock,,,abalone,,,pyrim10,,,machine10,,,housing10,,,stock10,,,abalone10,,,bank1-10,,,bank1-5,,,bank2-10,,,bank2-5,,,calhousing-10,,,calhousing-5,,,census1-10,,,census1-5,,,census2-10,,,census2-5,,,computer1-10,,,computer1-5,,,computer2-10,,,computer2-5
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.708333,0.500000,1.903618,0.338983,0.474576,1.624541,0.325243,0.402913,4.846558,0.108571,0.100000,2.984223,0.521561,0.675480,6.543753,0.791667,2.041667,1.046938,0.677966,0.864407,2.564194,0.631068,0.898058,6.107013,0.240000,0.240000,4.208881,0.740951,1.377715,5.991466,0.740604,1.487350,1.240151,0.490052,0.640260,1.002089,0.865344,2.308735,1.436079,0.774054,1.266601,0.780216,0.731576,1.375793,2.290501,0.541093,0.668716,1.836652,0.765447,1.607192,1.852071,0.579725,0.763722,3.071229,0.783298,1.749867,2.651109,0.585547,0.806677,2.312812,0.656574,1.231216,2.009357,0.478497,0.603806,1.864575,0.677079,1.080575,3.243523,0.425313,0.493740,1.866651,
0.750000,1.041667,2.195117,0.440678,0.389831,3.744634,0.364078,0.446602,3.699824,0.114286,0.094286,3.409082,0.523135,0.663834,4.692032,0.875000,1.958333,1.226672,0.559322,0.983051,1.612200,0.640777,1.014563,5.896590,0.257143,0.271429,4.972111,0.725527,1.406988,8.168201,0.694547,1.409850,1.021632,0.600590,0.845984,1.072946,0.867685,2.939263,2.188432,0.707897,1.274732,1.683367,0.738555,1.479258,2.550142,0.569741,0.697511,3.053396,0.788934,1.732363,2.276970,0.604361,0.811181,1.242101,0.782899,1.635627,3.041951,0.615569,0.804198,2.328605,0.636555,1.174740,1.658479,0.525210,0.534726,0.992440,0.622412,0.970125,1.449225,0.465601,0.513822,1.896729,
0.583333,0.916667,0.783027,0.525424,0.457627,2.817397,0.296117,0.461165,4.925185,0.102857,0.134286,3.240354,0.505194,0.670759,4.994870,0.916667,2.166667,2.609672,0.559322,0.711864,2.340581,0.567961,0.849515,5.902570,0.225714,0.245714,4.310113,0.740951,1.414542,9.883949,0.703021,1.235691,1.589560,0.479243,0.592606,1.358874,0.889984,2.239990,1.497373,0.754589,1.221510,1.747942,0.726794,1.434846,2.554442,0.548902,0.680527,2.917559,0.789818,1.643637,3.121146,0.588836,0.808881,2.734088,0.797556,1.843916,3.791700,0.590329,0.780818,1.430372,0.692289,1.258403,1.942771,0.444266,0.524221,1.470882,0.609768,0.904549,1.429369,0.408082,0.471055,1.630493,
0.666667,1.166667,0.902617,0.423729,0.559322,3.139079,0.378641,0.427184,4.890984,0.114286,0.122857,4.278510,0.530375,0.651873,7.018646,0.750000,2.541667,1.710703,0.694915,0.932203,1.839631,0.563107,0.815534,4.094224,0.220000,0.277143,6.625658,0.726157,1.390305,8.026342,0.794891,1.559076,2.077228,0.607836,0.835913,1.270541,0.875200,2.480350,1.744341,0.746581,1.451768,1.425221,0.742509,1.439287,2.113129,0.568277,0.703123,2.969547,0.761953,1.644036,1.999449,0.577956,0.793799,1.324589,0.776700,1.721263,3.654644,0.614594,0.873229,2.958495,0.679560,1.207860,1.406713,0.469229,0.569204,1.806869,0.619437,1.020950,2.354111,0.468948,0.508987,1.735099,
0.791667,1.541667,1.957279,0.203390,0.237288,2.497171,0.368932,0.427184,1.814012,0.131429,0.125714,4.933893,0.517784,0.670759,7.250775,0.791667,1.291667,2.697916,0.508475,0.830508,3.301357,0.577670,0.883495,5.116914,0.211429,0.240000,6.732074,0.734970,1.372679,4.529501,0.694670,1.385532,1.703898,0.488086,0.701302,1.680385,0.857583,2.538376,3.087112,0.777750,1.615252,0.792437,0.718838,1.390483,3.591722,0.533773,0.671889,2.365415,0.778407,1.706665,2.359009,0.582556,0.769738,2.891247,0.780287,1.652187,4.254065,0.607200,0.873583,1.412416,0.675853,1.244068,1.758626,0.478744,0.571799,1.822194,0.627371,1.098674,2.104550,0.435726,0.497459,1.784107,
0.500000,1.041667,2.724897,0.271186,0.288136,1.910851,0.339806,0.475728,3.644444,0.114286,0.120000,4.185669,0.525024,0.668240,6.115634,0.750000,2.083333,2.081619,0.593220,0.745763,3.511785,0.631068,0.941748,4.450176,0.231429,0.251429,6.348690,0.733711,1.407932,8.749270,0.742324,1.234095,1.450434,0.536232,0.769713,0.931849,0.893557,2.590735,1.583566,0.699150,1.100160,1.578064,0.785505,1.467984,4.172243,0.535237,0.700781,0.858041,0.776151,1.764032,1.658715,0.582865,0.818302,1.145756,0.786353,1.760760,1.040261,0.610654,0.845820,1.322659,0.632106,1.179684,1.921041,0.486530,0.602818,2.209836,0.634313,1.343498,2.126662,0.546796,0.695674,2.374409,
0.708333,0.875000,2.008002,0.423729,0.457627,2.538197,0.349515,0.364078,2.459323,0.117143,0.128571,4.499060,0.520932,0.660371,6.497196,0.666667,2.041667,2.384117,0.644068,1.118644,3.135931,0.587379,0.888350,4.039416,0.240000,0.268571,6.138157,0.715140,1.366383,9.372743,0.787521,2.011422,1.705351,0.509948,0.595063,0.834020,0.869533,2.565357,2.181336,0.726500,1.377356,1.047426,0.759395,1.465642,2.683789,0.534065,0.645144,1.346335,0.778982,1.680525,2.484192,0.647486,0.778716,2.024336,0.796714,1.606049,2.050881,0.590285,0.820315,3.545245,0.662383,1.073900,1.583018,0.505190,0.633712,1.699425,0.635304,0.996281,2.189463,0.417503,0.534151,2.598195,
0.750000,1.291667,2.593306,0.457627,0.525424,1.877388,0.359223,0.466019,4.622634,0.128571,0.120000,2.892167,0.517155,0.667296,7.228853,0.791667,2.083333,2.165699,0.576271,0.881356,3.478717,0.572816,1.038835,5.814612,0.251429,0.265714,6.470710,0.748820,1.423355,6.537819,0.748465,1.398674,1.146444,0.526898,0.670228,1.412974,0.866207,2.497228,1.487427,0.713564,1.274116,2.432775,0.749244,1.490874,2.325678,0.546120,0.717814,1.566108,0.768190,1.786368,1.318203,0.606484,0.842541,1.996309,0.795165,1.781527,2.420553,0.594005,0.838293,2.044035,0.703782,1.211443,1.928230,0.431414,0.501977,0.848857,0.660345,1.103384,1.312705,0.409942,0.479112,3.060218,
0.666667,1.083333,1.296754,0.406780,0.372881,2.855230,0.373786,0.470874,1.929990,0.105714,0.108571,5.386717,0.525338,0.673906,4.031872,0.791667,1.291667,2.154375,0.661017,1.084746,3.388749,0.533981,0.888350,3.528240,0.268571,0.260000,7.844718,0.737803,1.399433,9.281090,0.765782,1.227831,1.493575,0.610292,0.886023,1.140451,0.862388,2.282863,1.318407,0.744733,1.472465,0.791289,0.757003,1.410639,2.658153,0.538702,0.673304,1.333429,0.775045,1.604007,1.698310,0.574860,0.805166,1.584600,0.774176,1.685618,3.592829,0.604897,0.830322,3.704889,0.695131,1.167696,1.621565,0.462432,0.564879,2.029271,0.654890,1.050700,1.321008,0.429652,0.476757,3.014998,
0.625000,1.000000,2.096096,0.406780,0.406780,2.131392,0.368932,0.432039,2.613965,0.120000,0.122857,4.413756,0.530375,0.675165,7.200382,0.916667,2.041667,2.000865,0.593220,0.830508,3.699824,0.631068,0.893204,3.355575,0.225714,0.257143,5.342653,0.731822,1.390305,8.993618,0.786416,1.619135,2.106094,0.509703,0.540039,0.978391,0.872983,3.157201,1.777410,0.706419,1.161882,1.528089,0.747682,1.468424,2.163534,0.600976,0.773402,1.993317,0.767084,1.624442,2.255028,0.615065,0.842187,1.882011,0.767357,1.710769,4.303138,0.639745,0.819253,2.213125,0.697108,1.250618,1.091322,0.439076,0.515818,1.103989,0.642370,0.971737,3.092474,0.425065,0.515309,1.442358,
