Dataset,SvorimLin
ERA,0.75 ± 0.023
ESL,0.293 ± 0.033
LEV,0.384 ± 0.028
SWD,0.431 ± 0.03
automobile,0.408 ± 0.068
balance-scale,0.094 ± 0.019
car,0.077 ± 0.01
contact-lenses,0.361 ± 0.099
eucalyptus,0.357 ± 0.023
newthyroid,0.031 ± 0.024
pasture,0.344 ± 0.122
squash-stored,0.372 ± 0.133
squash-unstored,0.315 ± 0.113
tae,0.46 ± 0.072
toy,0.73 ± 0.016
winequality-red,0.407 ± 0.015
