,contact-lenses,,,pasture,,,squash-stored,,,squash-unstored,,,tae,,,newthyroid,,,balance-scale,,,SWD,,,car,,,bondrate,,,toy,,,eucalyptus,,,LEV,,,automobile,,,winequality-red,,,ESL,,,ERA
MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time,MZE,MAE,Time
0.833333,0.833333,0.575349,0.333333,0.333333,1.394102,0.538462,0.384615,1.952726,0.307692,0.461538,1.216831,0.342105,0.736842,1.584920,0.074074,0.055556,2.346742,0.076433,0.082803,4.080122,0.492000,0.492000,6.543209,0.171296,0.180556,8.579056,0.466667,0.533333,2.432033,0.066667,0.120000,1.523784,0.391304,0.554348,6.962469,0.360000,0.412000,4.710261,0.480769,0.653846,4.949789,0.387500,0.425000,8.325278,0.245902,0.303279,6.479156,0.748000,1.188000,5.608023,
0.166667,1.000000,0.568960,0.111111,0.666667,0.951964,0.461538,0.461538,1.974850,0.230769,0.384615,2.061300,0.421053,0.631579,3.178837,0.055556,0.074074,2.264117,0.101911,0.121019,4.206924,0.396000,0.420000,5.749210,0.185185,0.192130,8.615466,0.333333,0.866667,2.505688,0.066667,0.093333,2.303186,0.472826,0.527174,6.942037,0.360000,0.420000,4.906505,0.403846,0.557692,5.462291,0.395000,0.420000,6.984034,0.352459,0.344262,5.599225,0.752000,1.196000,3.688354,
0.166667,0.666667,0.574903,0.333333,0.555556,1.209613,0.230769,0.461538,1.702030,0.384615,0.461538,1.415896,0.447368,0.526316,2.477762,0.055556,0.055556,2.577037,0.070064,0.076433,3.755883,0.396000,0.440000,5.594759,0.159722,0.178241,7.390002,0.866667,0.666667,2.551881,0.106667,0.080000,2.758383,0.467391,0.641304,7.011152,0.360000,0.408000,2.920746,0.288462,0.346154,4.310638,0.390000,0.455000,6.328353,0.360656,0.336066,5.005811,0.768000,1.268000,3.858013,
0.333333,0.166667,0.654468,0.333333,0.333333,1.118980,0.615385,0.615385,1.270051,0.307692,0.461538,1.339949,0.473684,0.684211,3.553807,0.037037,0.055556,2.214367,0.108280,0.159236,4.806010,0.400000,0.404000,4.546430,0.155093,0.185185,6.497244,0.666667,0.666667,2.556068,0.053333,0.080000,2.632614,0.423913,0.554348,5.711656,0.360000,0.396000,4.417923,0.442308,0.500000,4.880018,0.387500,0.402500,7.505591,0.336066,0.352459,4.490775,0.728000,1.272000,4.812403,
0.333333,0.166667,0.607354,0.555556,0.333333,1.306027,0.153846,0.384615,1.326320,0.307692,0.461538,1.189298,0.526316,0.657895,2.527394,0.018519,0.074074,2.966902,0.108280,0.108280,4.621805,0.440000,0.492000,4.044282,0.150463,0.173611,6.761939,0.733333,0.733333,2.150763,0.106667,0.106667,2.368434,0.418478,0.543478,5.845611,0.368000,0.392000,3.759766,0.384615,0.538462,4.751382,0.427500,0.472500,6.021511,0.336066,0.327869,5.369965,0.760000,1.172000,6.254951,
0.000000,0.000000,0.630589,0.333333,0.555556,0.849283,0.307692,0.538462,1.697297,0.461538,0.538462,0.991795,0.526316,0.552632,1.775073,0.092593,0.074074,3.264181,0.082803,0.076433,3.421463,0.408000,0.428000,5.449771,0.159722,0.182870,5.946356,0.600000,0.800000,1.553517,0.093333,0.120000,2.767179,0.434783,0.543478,6.257612,0.332000,0.388000,3.781531,0.461538,0.480769,4.541019,0.387500,0.455000,8.312836,0.303279,0.295082,3.986621,0.716000,1.308000,6.681898,
0.500000,0.833333,1.119442,0.777778,0.555556,1.108708,0.307692,0.615385,1.994406,0.461538,0.461538,1.617652,0.447368,0.710526,2.911332,0.055556,0.000000,3.583621,0.070064,0.057325,5.026042,0.364000,0.424000,4.027918,0.136574,0.155093,7.830435,0.666667,0.666667,2.070947,0.080000,0.080000,3.535590,0.407609,0.581522,6.747323,0.348000,0.372000,5.161450,0.461538,0.557692,4.814371,0.405000,0.450000,6.132862,0.327869,0.368852,4.661047,0.732000,1.244000,6.188006,
0.333333,0.166667,1.302108,0.444444,0.333333,0.932687,0.384615,0.230769,1.406300,0.538462,0.461538,1.153676,0.526316,0.447368,1.731454,0.055556,0.055556,3.556245,0.095541,0.133758,4.479638,0.440000,0.484000,5.057130,0.164352,0.171296,7.832153,0.466667,0.533333,2.544937,0.040000,0.053333,2.685862,0.445652,0.592391,6.486859,0.388000,0.452000,3.753909,0.365385,0.653846,4.122311,0.417500,0.437500,6.940619,0.286885,0.336066,4.975405,0.748000,1.300000,6.042656,
0.333333,0.666667,0.908637,0.444444,0.444444,1.101562,0.384615,0.769231,1.995985,0.538462,0.615385,1.991531,0.368421,0.605263,3.444341,0.111111,0.055556,2.624858,0.089172,0.108280,4.098985,0.448000,0.476000,5.488702,0.157407,0.180556,8.614470,0.666667,0.733333,2.143316,0.093333,0.080000,1.868296,0.385870,0.489130,5.172071,0.420000,0.436000,5.300427,0.269231,0.500000,5.039038,0.422500,0.442500,8.369461,0.303279,0.336066,3.744466,0.736000,1.292000,5.714692,
0.666667,0.500000,0.865997,0.333333,0.333333,1.554934,0.307692,0.384615,1.571151,0.538462,0.461538,1.185243,0.447368,0.578947,3.250584,0.074074,0.074074,3.348020,0.057325,0.089172,4.226186,0.420000,0.436000,5.729717,0.175926,0.152778,8.150030,0.466667,0.600000,1.791955,0.053333,0.093333,2.369241,0.440217,0.500000,6.575535,0.396000,0.444000,4.805475,0.346154,0.557692,4.169816,0.392500,0.412500,6.731122,0.286885,0.319672,5.121696,0.748000,1.244000,7.025882,
0.500000,0.500000,0.803717,0.777778,0.111111,0.932449,0.307692,0.230769,1.360790,0.384615,0.461538,1.482659,0.342105,0.631579,1.412997,0.018519,0.074074,2.630344,0.082803,0.108280,4.837363,0.432000,0.444000,6.652669,0.141204,0.168981,7.033718,0.600000,0.600000,2.638356,0.093333,0.120000,3.383641,0.445652,0.510870,7.193558,0.356000,0.408000,5.962127,0.384615,0.557692,5.162317,0.402500,0.430000,7.798170,0.278689,0.352459,5.069233,0.780000,1.240000,7.351355,
0.166667,0.166667,0.595800,0.222222,0.222222,1.239988,0.538462,0.769231,2.201769,0.384615,0.230769,2.158045,0.368421,0.447368,3.434722,0.092593,0.018519,3.585846,0.095541,0.070064,3.645753,0.436000,0.492000,6.496638,0.171296,0.182870,9.141870,0.466667,0.866667,2.482892,0.053333,0.066667,3.491438,0.413043,0.510870,6.183398,0.360000,0.388000,5.143576,0.403846,0.673077,5.273636,0.400000,0.427500,8.309297,0.262295,0.327869,4.774114,0.740000,1.256000,6.350685,
0.666667,0.166667,0.743931,0.444444,0.555556,0.848252,0.461538,0.538462,2.117773,0.307692,0.076923,2.188559,0.421053,0.526316,1.737566,0.037037,0.018519,3.864331,0.057325,0.038217,4.267840,0.440000,0.440000,4.111296,0.138889,0.171296,9.689577,0.400000,0.333333,1.769519,0.093333,0.093333,2.384529,0.429348,0.532609,5.169018,0.344000,0.380000,5.486306,0.269231,0.423077,5.882115,0.362500,0.417500,8.100086,0.295082,0.303279,4.685393,0.720000,1.248000,6.120334,
0.833333,0.500000,0.505380,0.333333,0.444444,0.915658,0.307692,0.307692,2.119894,0.230769,0.384615,2.175391,0.447368,0.815789,3.471952,0.037037,0.018519,2.378063,0.095541,0.070064,2.849931,0.420000,0.488000,6.757278,0.178241,0.187500,9.063363,0.600000,0.866667,1.364335,0.013333,0.040000,2.433958,0.440217,0.391304,7.821171,0.404000,0.464000,4.603859,0.307692,0.423077,4.671932,0.397500,0.422500,8.942736,0.352459,0.377049,4.477175,0.736000,1.196000,4.724519,
0.500000,0.333333,0.554756,0.444444,0.555556,0.980729,0.461538,0.692308,1.845875,0.230769,0.384615,1.800209,0.394737,0.500000,4.079530,0.055556,0.018519,2.088394,0.101911,0.063694,4.128213,0.460000,0.484000,7.242209,0.150463,0.164352,8.817677,0.466667,0.400000,2.098644,0.040000,0.053333,2.170973,0.423913,0.554348,5.698428,0.364000,0.404000,4.671980,0.442308,0.596154,4.826057,0.415000,0.450000,8.401585,0.319672,0.336066,4.696035,0.756000,1.236000,6.302505,
0.666667,0.666667,0.847831,0.555556,0.333333,1.192288,0.923077,0.615385,2.268289,0.538462,0.461538,2.057844,0.289474,0.710526,2.136461,0.055556,0.055556,2.282442,0.133758,0.070064,3.991869,0.416000,0.456000,6.442832,0.150463,0.150463,9.320664,0.666667,0.733333,1.553428,0.040000,0.093333,3.366445,0.429348,0.548913,6.743917,0.384000,0.384000,3.894905,0.403846,0.480769,4.138705,0.382500,0.420000,6.265499,0.311475,0.377049,5.297486,0.716000,1.184000,5.058139,
0.333333,0.833333,0.651486,0.222222,0.444444,1.227370,0.538462,0.538462,1.646313,0.384615,0.615385,1.281017,0.368421,0.657895,1.689987,0.037037,0.037037,2.694509,0.089172,0.089172,3.604599,0.448000,0.468000,3.347303,0.143519,0.187500,6.650962,0.466667,0.666667,1.874686,0.053333,0.040000,3.001494,0.402174,0.461957,5.960401,0.368000,0.432000,4.030237,0.326923,0.480769,4.366737,0.405000,0.457500,6.265625,0.352459,0.336066,4.090142,0.732000,1.224000,4.498608,
0.333333,0.500000,0.558457,0.444444,0.555556,0.980945,0.384615,0.153846,2.044889,0.384615,0.461538,2.223500,0.315789,0.578947,1.548903,0.055556,0.055556,2.941461,0.121019,0.082803,4.167520,0.416000,0.456000,5.740694,0.145833,0.173611,6.446794,0.800000,0.866667,2.733145,0.093333,0.093333,1.633241,0.396739,0.472826,7.139399,0.360000,0.384000,3.825626,0.423077,0.634615,4.560463,0.387500,0.452500,7.697143,0.254098,0.286885,4.736331,0.768000,1.292000,5.546675,
0.666667,0.666667,0.755493,0.444444,0.666667,1.528322,0.384615,0.384615,1.653562,0.384615,0.461538,1.105647,0.421053,0.710526,2.211347,0.055556,0.037037,3.234679,0.076433,0.089172,4.057500,0.436000,0.464000,4.298193,0.175926,0.173611,7.281024,0.600000,0.800000,2.006826,0.040000,0.093333,3.043991,0.385870,0.570652,5.276357,0.360000,0.396000,4.639202,0.423077,0.538462,4.890023,0.410000,0.445000,7.051028,0.327869,0.352459,4.351384,0.744000,1.240000,6.068400,
